"country","year","bank_per_area","bank_per_adults","num_branches","num_depositors"
"South Africa","2020","3.20916","9.219194","3859","0"
"Uganda","2020","3.012168","2.44605","579","5.098165"
"Zambia","2020","0.4371864","3.157848","307","2.163383"
"Zimbabwe","2020","0.9305933","4.169702","342","5.017795"
"Ghana","2021","10.11251","11.48962","2278","7.179573"
"Nigeria","2021","5.635891","4.283012","5109","14.58407"
"South Africa","2021","2.815949","7.967437","3382","0"
"Uganda","2021","2.907441","2.272068","558","5.414732"
"Zambia","2021","0.412973","2.875483","290","2.213863"
"Zimbabwe","2021","1.42174","6.210598","532","5.108866"
